x,y,w
7.5,8.2,0.32
12.2,12,0.97
15,14.7,1.37
17.9,18.4,2.21
2.36,2.16,3.09
31.5,30.7,8.71
20.6,19.1,1.96
20.8,21.7,3.25
10.9,11.1,0.71
7,6.8,0.23
26,27.1,5.63
24.7,27.2,4.96
21.8,23.6,3.61
23.9,25.2,5.19
32.9,33.2,10.15
24.6,27.6,6.24
19.7,20.8,3.25
34.1,32.8,11.92
29,28.4,9.01
27.7,27.5,7.87
41.8,40.2,19.34
32.3,38.7,13.9
18.3,23.2,3.67
19.9,20.1,3.17
15.3,15.8,1.36
35.6,37,14.38
32.4,38.1,13.38
45,46.6,29.66
37.2,37.2,13.16
37.6,36,15.37
46,46.5,26.05
45.2,45.2,29.02
37.6,39,19.38
33.2,32.3,11.83
35.7,32.9,12.86
43,47.1,27.25
49.3,50.1,30.83
24.5,23.4,5.71
34.7,34.5,12.41
45.8,47.8,30.98
39.9,41.6,21.43
42.5,43.7,24.04
50,51.5,31.25
52.2,51.2,39.66
29.9,34,12.19
61.8,56.5,46.02
54,54.7,22.92
33.1,36.3,13.43
43.1,45.4,21.68
54.9,53.7,38.04
66.7,65.7,56.59
51.6,52.9,37.37
59.4,61,41.69
54.8,52.7,40.72
53.2,51.8,30.83
26,25.5,4.95
29.5,71.3,39.26
43.2,44.1,18.14
57.8,62.1,48
52.4,58.9,47.54
59.8,61.2,51.61
46.3,48.5,31.21
46.9,52.5,28.64
44.7,43.7,24.54
50.1,52.3,42.68
55.6,52.8,43.48
58.2,56.8,39.82
37.9,37.5,14.53
54.5,53.3,35.85
36,36.7,12.94
31,29,8.49
44.6,45.2,20.59
57.4,54,39.16
55.9,62.2,43.41
49.9,50.3,34.31
52.2,51.8,39.65
20.2,24.6,4.11
26.7,26.8,6.38
55.3,51.5,31.59
37.6,35.3,17.72
40.3,43.4,18.44
56.2,58.2,41.6
57.7,54.3,36.95
34.8,32.9,12.21
41.2,56.4,29.4
64.6,44.2,31.95
56.8,41.7,30
48.5,50.3,24.4
60.8,44.6,31.46
57.4,51.5,35.03
48,49.3,27.18
42.1,37.1,17.9
66.6,63.1,55.77
60.8,55.1,41.08
64.1,48.5,38.67
54.3,50.6,30.4
55.9,19.9,19.99
47,47.3,27.12
58.9,59.3,40.2
46.8,46.3,21.3
38.5,43,16.93
44.3,44.5,20.17
24.2,21.7,4.61
26.6,42.9,14.89
55.2,53,37.59
66.1,62,43.76
56.2,58,39.76
32.6,35.4,12.02
31,37.6,12.11
18.8,18.6,2.24
35.6,36.7,12.67
33.5,36.8,13.43
29.8,27.3,8.92
29.2,29.5,7.52
45.1,48.7,23.06
47.4,55.4,33.36
27.8,71.5,38.11
52.6,52.7,33.48
28.3,32.4,8.43
50.9,40.7,27.72
44.1,46.4,24.62
40.5,45.9,18.48
45.5,46.1,24.89
46.4,48.2,27.84
70.2,61.4,49.39
50.1,51.5,32.9
57.4,61.5,43.59
37.5,36.7,15.44
45.5,46.7,31.49
36.5,37.4,15.26
50.1,49.2,28.08
37.2,37.2,14.88
48.7,50.7,34.28
47.2,49.2,23.73
40.9,40.6,18.64
40.5,41.4,16.18
33.7,35.6,10.56
46.4,46.7,22.61
31,33,10.43
39.3,48.6,22.71
57.4,53.4,47.95
28.7,27.1,7.62
50.6,55.4,30.12
39.7,44.2,24.02
30.4,27.2,8.14
43.1,40.5,19.24
45.3,47,26.08
33.7,33.2,13.14
27.6,29.2,8.1
46.3,46.7,25.83
51.6,55.6,34.37
61.7,54.5,42.03
47.3,40.8,21.98
45.4,42.2,23.2
39.6,37.7,15.78
38.9,38.2,13.17
42.3,46.7,20.01
39.9,36.8,16.7
34.5,38.8,15.22
38.1,39.8,16.39
35.5,37.3,13.68
32.6,32.1,9.39
27.3,30.6,8.93
24.5,27.4,6.95
26,30.1,6.45
31.7,33.4,10.43
28.5,28.8,7
22.4,22,3.63
26.3,26.8,6.21
28.7,28.8,7.63
54.2,54.3,38.39
34,35.4,11
41.2,45.9,27.39
23.8,23,4.02
24.7,21.6,4.34
26.9,28.5,7.24
28.6,33.3,10
40.1,34.1,14.71
24.9,22.3,4.56
23.8,23.7,5.46
23,31.6,8.53
23.2,23.1,4.18
24.6,22.6,5.26
20.2,20.2,2.53
20.3,19.9,2.75
34,32.5,13.11
20.5,22.2,3.48
24.2,26.3,5.65
8.8,9.6,0.42
17.9,17.6,1.85
35.5,34.1,12.46
27,25.8,6.36
23.2,24.2,4.18
35.7,32.9,14.58
27.6,25.2,5.78
21.8,21.6,3.68
25,26.4,6.97
17.4,17,1.88
22.8,28.4,5.67
22.5,21.9,4.2
24,25.5,5.53
22.7,22.9,3.98
18.4,16.9,1.83
